regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 5m --timestamps mystack_user-publication-service
2025-11-21T10:54:44.525511870Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Resposta do serviço Node.js recebida. Status: 200 OK | RequestId: 705445fe-0735-4a11-9e0a-7a7e2b37a6a6

2025-11-21T10:54:44.556282711Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Recebido upload. Título original: Publication title | RequestId: 29ff4790-7cfb-4968-a399-1fb7df631836
2025-11-21T10:54:44.562415959Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Metadados da imagem extraídos com sucesso. Tags encontradas: 134 | RequestId: 29ff4790-7cfb-4968-a399-1fb7df631836
2025-11-21T10:54:44.562463060Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Buscando dados do usuário em: http://user-auth-service:8080/api/v1/uuid/a3b8d4f6-7e1c-4b9a-9d0f-2c5e1a8b7c6d | RequestId: 29ff4790-7cfb-4968-a399-1fb7df631836
2025-11-21T10:54:44.568522707Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Dados do usuário recebidos: admin | RequestId: 29ff4790-7cfb-4968-a399-1fb7df631836
2025-11-21T10:54:44.568839210Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Enviando payload combinado para o serviço Node.js em: http://get-data:8083/process-java-payload | RequestId: 29ff4790-7cfb-4968-a399-1fb7df631836
2025-11-21T10:54:44.589151869Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Resposta do serviço Node.js recebida. Status: 200 OK | RequestId: 29ff4790-7cfb-4968-a399-1fb7df631836

2025-11-21T10:54:44.661607236Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Recebido upload. Título original: Publication title | RequestId: 86c84652-7285-468f-bd09-d25d2e9d87c8
